BOOK 12 PARAGRAPH COUNT INVENTORY
==========================================================================================
Date Range: August 17, 1878 to April 25, 1879
==========================================================================================

Filename,Paragraph Count,Start ID,End ID
------------------------------------------------------------------------------------------
1878-08-17.md,1,12.501,12.501
1878-08-18.md,3,12.502,12.504
1878-08-19.md,4,12.505,12.508
1878-08-20.md,3,12.509,12.511
1878-08-21.md,4,12.512,12.515
1878-08-22.md,4,12.516,12.519
1878-08-23.md,3,12.520,12.522
1878-08-24.md,2,12.523,12.524
1878-08-25.md,4,12.525,12.528
1878-08-26.md,4,12.529,12.532
1878-08-27.md,3,12.533,12.535
1878-08-28.md,3,12.536,12.538
1878-08-29.md,7,12.539,12.545
1878-08-30.md,8,12.546,12.553
1878-08-31.md,4,12.554,12.557
1878-09-01.md,11,12.558,12.568
1878-09-02.md,8,12.569,12.576
1878-09-03.md,3,12.577,12.579
1878-09-04.md,3,12.580,12.582
1878-09-05.md,14,12.583,12.596
1878-09-06.md,7,12.597,12.603
1878-09-07.md,3,12.604,12.606
1878-09-08.md,15,12.607,12.621
1878-09-09.md,8,12.622,12.629
1878-09-10.md,13,12.630,12.642
1878-09-11.md,8,12.643,12.650
1878-09-12.md,1,12.651,12.651
1878-09-13.md,15,12.652,12.666
1878-09-14.md,0,N/A,N/A
1878-09-15.md,14,12.667,12.680
1878-09-16.md,2,12.681,12.682
1878-09-17.md,6,12.683,12.688
1878-09-18.md,3,12.689,12.691
1878-09-19.md,2,12.692,12.693
1878-09-20.md,0,N/A,N/A
1878-09-21.md,6,12.694,12.699
1878-09-22.md,1,12.700,12.700
1878-09-23.md,6,12.701,12.706
1878-09-24.md,0,N/A,N/A
1878-09-25.md,8,12.707,12.714
1878-09-26.md,4,12.715,12.718
1878-09-27.md,3,12.719,12.721
1878-09-28.md,20,12.722,12.741
1878-09-29.md,7,12.742,12.748
1878-09-30.md,4,12.749,12.752
1878-10-01.md,0,N/A,N/A
1878-10-02.md,0,N/A,N/A
1878-10-03.md,2,12.753,12.754
1878-10-04-evening.md,10,12.755,12.764
1878-10-04.md,8,12.765,12.772
1878-10-05.md,5,12.773,12.777
1878-10-06.md,17,12.778,12.794
1878-10-07.md,11,12.795,12.805
1878-10-08.md,0,N/A,N/A
1878-10-09.md,7,12.806,12.812
1878-10-10.md,1,12.813,12.813
1878-10-11.md,2,12.814,12.815
1878-10-12-evening.md,17,12.816,12.832
1878-10-12-late.md,7,12.833,12.839
1878-10-12.md,14,12.840,12.853
1878-10-13.md,1,12.854,12.854
1878-10-14.md,2,12.855,12.856
1878-10-15.md,3,12.857,12.859
1878-10-16.md,5,12.860,12.864
1878-10-17.md,5,12.865,12.869
1878-10-18.md,3,12.870,12.872
1878-10-20.md,5,12.873,12.877
