BOOK 12 PARAGRAPH COUNT INVENTORY - CORRECTED
==========================================================================================
Date Range: August 17, 1878 to April 25, 1879
Starting from 12.506 (August 16 ends at 12.505)
==========================================================================================

Filename,Paragraph Count,Start ID,End ID
------------------------------------------------------------------------------------------
1878-08-17.md,1,12.506,12.506
1878-08-18.md,3,12.507,12.509
1878-08-19.md,4,12.510,12.513
1878-08-20.md,3,12.514,12.516
1878-08-21.md,4,12.517,12.520
1878-08-22.md,4,12.521,12.524
1878-08-23.md,3,12.525,12.527
1878-08-24.md,2,12.528,12.529
1878-08-25.md,4,12.530,12.533
1878-08-26.md,4,12.534,12.537
1878-08-27.md,3,12.538,12.540
1878-08-28.md,3,12.541,12.543
1878-08-29.md,7,12.544,12.550
1878-08-30.md,8,12.551,12.558
1878-08-31.md,4,12.559,12.562
1878-09-01.md,11,12.563,12.573
1878-09-02.md,8,12.574,12.581
1878-09-03.md,3,12.582,12.584
1878-09-04.md,3,12.585,12.587
1878-09-05.md,14,12.588,12.601
1878-09-06.md,7,12.602,12.608
1878-09-07.md,3,12.609,12.611
1878-09-08.md,15,12.612,12.626
1878-09-09.md,8,12.627,12.634
1878-09-10.md,13,12.635,12.647
1878-09-11.md,8,12.648,12.655
1878-09-12.md,1,12.656,12.656
1878-09-13.md,15,12.657,12.671
1878-09-14.md,0,N/A,N/A
1878-09-15.md,14,12.672,12.685
1878-09-16.md,2,12.686,12.687
1878-09-17.md,6,12.688,12.693
1878-09-18.md,3,12.694,12.696
1878-09-19.md,2,12.697,12.698
1878-09-20.md,0,N/A,N/A
1878-09-21.md,6,12.699,12.704
1878-09-22.md,1,12.705,12.705
1878-09-23.md,6,12.706,12.711
1878-09-24.md,0,N/A,N/A
1878-09-25.md,8,12.712,12.719
1878-09-26.md,4,12.720,12.723
1878-09-27.md,3,12.724,12.726
1878-09-28.md,20,12.727,12.746
1878-09-29.md,7,12.747,12.753
1878-09-30.md,4,12.754,12.757
1878-10-01.md,0,N/A,N/A
1878-10-02.md,0,N/A,N/A
1878-10-03.md,2,12.758,12.759
1878-10-04-evening.md,10,12.760,12.769
1878-10-04.md,8,12.770,12.777
1878-10-05.md,5,12.778,12.782
1878-10-06.md,17,12.783,12.799
1878-10-07.md,11,12.800,12.810
1878-10-08.md,0,N/A,N/A
1878-10-09.md,7,12.811,12.817
1878-10-10.md,1,12.818,12.818
1878-10-11.md,2,12.819,12.820
1878-10-12-evening.md,17,12.821,12.837
1878-10-12-late.md,7,12.838,12.844
1878-10-12.md,14,12.845,12.858
1878-10-13.md,1,12.859,12.859
1878-10-14.md,2,12.860,12.861
1878-10-15.md,3,12.862,12.864
1878-10-16.md,5,12.865,12.869
1878-10-17.md,5,12.870,12.874
1878-10-18.md,3,12.875,12.877
1878-10-20.md,5,12.878,12.882
1878-10-21.md,1,12.883,12.883
1878-10-22.md,2,12.884,12.885
1878-10-23.md,5,12.886,12.890
1878-10-24.md,1,12.891,12.891
1878-10-25.md,6,12.892,12.897
1878-10-26.md,24,12.898,12.921
1878-10-27.md,8,12.922,12.929
1878-10-28.md,1,12.930,12.930
1878-10-29.md,4,12.931,12.934
1878-10-30.md,6,12.935,12.940
1878-10-31.md,3,12.941,12.943
1878-11-01.md,1,12.944,12.944
1878-11-02.md,6,12.945,12.950
1878-11-03.md,4,12.951,12.954
1878-11-04.md,3,12.955,12.957
1878-11-05.md,7,12.958,12.964
1878-11-06.md,4,12.965,12.968
1878-11-07.md,1,12.969,12.969
1878-11-08.md,5,12.970,12.974
1878-11-09.md,6,12.975,12.980
1878-11-10.md,4,12.981,12.984
1878-11-11.md,1,12.985,12.985
1878-11-12.md,5,12.986,12.990
1878-11-13.md,3,12.991,12.993
1878-11-14.md,1,12.994,12.994
1878-11-15.md,1,12.995,12.995
1878-11-16.md,4,12.996,12.999
1878-11-17.md,1,12.1000,12.1000
1878-11-18.md,4,12.1001,12.1004
1878-11-19.md,5,12.1005,12.1009
1878-11-20.md,4,12.1010,12.1013
1878-11-21.md,4,12.1014,12.1017
1878-11-22.md,4,12.1018,12.1021
1878-11-23.md,4,12.1022,12.1025
1878-11-24.md,4,12.1026,12.1029
1878-11-25.md,4,12.1030,12.1033
1878-11-26.md,4,12.1034,12.1037
1878-11-27.md,4,12.1038,12.1041
1878-11-28.md,4,12.1042,12.1045
1878-11-29.md,4,12.1046,12.1049
1878-11-30.md,4,12.1050,12.1053
1878-12-01.md,4,12.1054,12.1057
1878-12-02.md,1,12.1058,12.1058
1878-12-03.md,1,12.1059,12.1059
1878-12-04.md,3,12.1060,12.1062
1878-12-05.md,2,12.1063,12.1064
1878-12-06.md,3,12.1065,12.1067
1878-12-07.md,4,12.1068,12.1071
1878-12-08.md,3,12.1072,12.1074
1878-12-09.md,1,12.1075,12.1075
1878-12-10.md,4,12.1076,12.1079
1878-12-11.md,3,12.1080,12.1082
1878-12-12.md,3,12.1083,12.1085
1878-12-13.md,1,12.1086,12.1086
1878-12-14.md,5,12.1087,12.1091
1878-12-15.md,4,12.1092,12.1095
1878-12-16.md,1,12.1096,12.1096
1878-12-17.md,3,12.1097,12.1099
1878-12-18.md,1,12.1100,12.1100
1878-12-19.md,2,12.1101,12.1102
1878-12-20.md,1,12.1103,12.1103
1878-12-21.md,4,12.1104,12.1107
1878-12-22.md,1,12.1108,12.1108
1878-12-23.md,2,12.1109,12.1110
1878-12-24.md,4,12.1111,12.1114
1878-12-25.md,5,12.1115,12.1119
1878-12-26.md,2,12.1120,12.1121
1878-12-27.md,2,12.1122,12.1123
1878-12-28.md,4,12.1124,12.1127
1878-12-29.md,5,12.1128,12.1132
1878-12-30.md,4,12.1133,12.1136
1878-12-31.md,5,12.1137,12.1141
1879-01-01.md,5,12.1142,12.1146
1879-01-02.md,4,12.1147,12.1150
1879-01-03.md,1,12.1151,12.1151
1879-01-04.md,4,12.1152,12.1155
1879-01-05.md,4,12.1156,12.1159
1879-01-06.md,4,12.1160,12.1163
1879-01-07.md,1,12.1164,12.1164
1879-01-08.md,1,12.1165,12.1165
1879-01-09.md,4,12.1166,12.1169
1879-01-10.md,1,12.1170,12.1170
1879-01-11.md,2,12.1171,12.1172
1879-01-12.md,2,12.1173,12.1174
1879-01-13.md,2,12.1175,12.1176
1879-01-14.md,3,12.1177,12.1179
1879-01-15.md,2,12.1180,12.1181
1879-01-16.md,3,12.1182,12.1184
1879-01-17.md,7,12.1185,12.1191
1879-01-18.md,4,12.1192,12.1195
1879-01-19.md,2,12.1196,12.1197
1879-01-20.md,1,12.1198,12.1198
1879-01-21.md,2,12.1199,12.1200
1879-01-22.md,5,12.1201,12.1205
1879-01-23.md,5,12.1206,12.1210
1879-01-24.md,1,12.1211,12.1211
1879-01-25.md,4,12.1212,12.1215
1879-01-26.md,5,12.1216,12.1220
1879-01-27.md,3,12.1221,12.1223
1879-01-28.md,6,12.1224,12.1229
1879-01-29.md,3,12.1230,12.1232
1879-01-30.md,4,12.1233,12.1236
1879-01-31.md,1,12.1237,12.1237
1879-02-01.md,2,12.1238,12.1239
1879-02-02.md,4,12.1240,12.1243
1879-02-03.md,2,12.1244,12.1245
1879-02-04.md,2,12.1246,12.1247
1879-02-05.md,7,12.1248,12.1254
1879-02-06.md,1,12.1255,12.1255
1879-02-07.md,2,12.1256,12.1257
1879-02-08.md,4,12.1258,12.1261
1879-02-09.md,9,12.1262,12.1270
1879-02-10.md,1,12.1271,12.1271
1879-02-11.md,5,12.1272,12.1276
1879-02-12.md,1,12.1277,12.1277
1879-02-13.md,1,12.1278,12.1278
1879-02-14.md,4,12.1279,12.1282
1879-02-15.md,3,12.1283,12.1285
1879-02-16.md,14,12.1286,12.1299
1879-02-17.md,1,12.1300,12.1300
1879-02-18.md,1,12.1301,12.1301
1879-02-19.md,1,12.1302,12.1302
1879-02-20.md,1,12.1303,12.1303
1879-02-21.md,1,12.1304,12.1304
1879-02-22.md,1,12.1305,12.1305
1879-02-23.md,1,12.1306,12.1306
1879-02-24.md,12,12.1307,12.1318
1879-02-25.md,9,12.1319,12.1327
1879-02-26.md,1,12.1328,12.1328
1879-02-27.md,2,12.1329,12.1330
1879-02-28.md,2,12.1331,12.1332
1879-03-01.md,17,12.1333,12.1349
1879-03-02.md,1,12.1350,12.1350
1879-03-03.md,7,12.1351,12.1357
1879-03-04.md,3,12.1358,12.1360
1879-03-05.md,31,12.1361,12.1391
1879-03-06.md,4,12.1392,12.1395
1879-03-07.md,3,12.1396,12.1398
1879-03-08.md,2,12.1399,12.1400
1879-03-09.md,10,12.1401,12.1410
1879-03-10.md,7,12.1411,12.1417
1879-03-11.md,1,12.1418,12.1418
1879-03-12.md,3,12.1419,12.1421
1879-03-13.md,8,12.1422,12.1429
1879-03-14.md,4,12.1430,12.1433
1879-03-15.md,13,12.1434,12.1446
1879-03-16.md,9,12.1447,12.1455
1879-03-17.md,1,12.1456,12.1456
1879-03-18.md,2,12.1457,12.1458
1879-03-19.md,10,12.1459,12.1468
1879-03-20.md,13,12.1469,12.1481
1879-03-21.md,2,12.1482,12.1483
1879-03-22.md,8,12.1484,12.1491
1879-03-23.md,2,12.1492,12.1493
1879-03-24.md,7,12.1494,12.1500
1879-03-25.md,2,12.1501,12.1502
1879-03-26.md,1,12.1503,12.1503
1879-03-27.md,4,12.1504,12.1507
1879-03-28.md,3,12.1508,12.1510
1879-03-29.md,2,12.1511,12.1512
1879-03-30.md,6,12.1513,12.1518
1879-03-31.md,14,12.1519,12.1532
1879-04-01.md,2,12.1533,12.1534
1879-04-02.md,1,12.1535,12.1535
1879-04-03.md,2,12.1536,12.1537
1879-04-04.md,1,12.1538,12.1538
1879-04-05.md,5,12.1539,12.1543
1879-04-06.md,7,12.1544,12.1550
1879-04-07.md,10,12.1551,12.1560
1879-04-08.md,9,12.1561,12.1569
1879-04-09.md,4,12.1570,12.1573
1879-04-10.md,1,12.1574,12.1574
1879-04-11.md,6,12.1575,12.1580
1879-04-12.md,1,12.1581,12.1581
1879-04-13.md,6,12.1582,12.1587
1879-04-14.md,1,12.1588,12.1588
1879-04-15.md,8,12.1589,12.1596
1879-04-16.md,21,12.1597,12.1617
1879-04-17.md,6,12.1618,12.1623
1879-04-18.md,2,12.1624,12.1625
1879-04-19.md,1,12.1626,12.1626
1879-04-20.md,3,12.1627,12.1629
1879-04-21.md,4,12.1630,12.1633
1879-04-22.md,4,12.1634,12.1637
1879-04-23.md,2,12.1638,12.1639
1879-04-24.md,1,12.1640,12.1640
1879-04-25.md,27,12.1641,12.1667

==========================================================================================
TOTALS: 254 files (252 with content), 1162 total paragraphs
ID Range: 12.506 to 12.1667
==========================================================================================

CHANGES FROM ORIGINAL:
